# X, fit_data
0.000000000000000000e+00,1.040291997519985614e+02
1.000000000000000000e+00,1.040316718889365291e+02
2.000000000000000000e+00,1.040341387619913860e+02
3.000000000000000000e+00,1.040366003711631180e+02
4.000000000000000000e+00,1.040390567164517250e+02
5.000000000000000000e+00,1.040415077978572214e+02
6.000000000000000000e+00,1.040439536153795927e+02
7.000000000000000000e+00,1.040463941690188534e+02
8.000000000000000000e+00,1.040488294587749891e+02
9.000000000000000000e+00,1.040512594846479999e+02
1.000000000000000000e+01,1.040536842466378999e+02
1.100000000000000000e+01,1.040561037447446893e+02
1.200000000000000000e+01,1.040585179789683394e+02
1.300000000000000000e+01,1.040609269493088931e+02
1.400000000000000000e+01,1.040633306557663076e+02
1.500000000000000000e+01,1.040657290983406114e+02
1.600000000000000000e+01,1.040681222770318044e+02
1.700000000000000000e+01,1.040705101918398725e+02
1.800000000000000000e+01,1.040728928427648157e+02
1.900000000000000000e+01,1.040752702298066481e+02
2.000000000000000000e+01,1.040776423529653556e+02
2.100000000000000000e+01,1.040800092122409524e+02
2.200000000000000000e+01,1.040823708076334242e+02
2.300000000000000000e+01,1.040847271391427711e+02
2.400000000000000000e+01,1.040870782067690072e+02
2.500000000000000000e+01,1.040894240105121327e+02
2.600000000000000000e+01,1.040917645503721189e+02
2.700000000000000000e+01,1.040940998263490087e+02
2.800000000000000000e+01,1.040964298384427593e+02
2.900000000000000000e+01,1.040987545866533992e+02
3.000000000000000000e+01,1.041010740709809284e+02
3.100000000000000000e+01,1.041033882914253326e+02
3.200000000000000000e+01,1.041056972479866118e+02
3.300000000000000000e+01,1.041080009406647804e+02
3.400000000000000000e+01,1.041102993694598240e+02
3.500000000000000000e+01,1.041125925343717569e+02
3.600000000000000000e+01,1.041148804354005648e+02
3.700000000000000000e+01,1.041171630725462478e+02
3.800000000000000000e+01,1.041194404458088201e+02
3.900000000000000000e+01,1.041217125551882816e+02
4.000000000000000000e+01,1.041239794006846040e+02
4.100000000000000000e+01,1.041262409822978299e+02
4.200000000000000000e+01,1.041284973000279166e+02
4.300000000000000000e+01,1.041307483538748926e+02
4.400000000000000000e+01,1.041329941438387579e+02
4.500000000000000000e+01,1.041352346699194982e+02
4.600000000000000000e+01,1.041374699321171136e+02
4.700000000000000000e+01,1.041396999304316182e+02
4.800000000000000000e+01,1.041419246648629979e+02
4.900000000000000000e+01,1.041441441354112669e+02
5.000000000000000000e+01,1.041463583420764110e+02
5.100000000000000000e+01,1.041485672848584301e+02
5.200000000000000000e+01,1.041507709637573384e+02
5.300000000000000000e+01,1.041529693787731219e+02
5.400000000000000000e+01,1.041551625299057946e+02
5.500000000000000000e+01,1.041573504171553424e+02
5.600000000000000000e+01,1.041595330405217794e+02
5.700000000000000000e+01,1.041617104000050915e+02
5.800000000000000000e+01,1.041638824956052787e+02
5.900000000000000000e+01,1.041660493273223551e+02
6.000000000000000000e+01,1.041682108951563208e+02
6.100000000000000000e+01,1.041703671991071474e+02
6.200000000000000000e+01,1.041725182391748774e+02
6.300000000000000000e+01,1.041746640153594683e+02
6.400000000000000000e+01,1.041768045276609485e+02
6.500000000000000000e+01,1.041789397760793179e+02
6.600000000000000000e+01,1.041810697606145624e+02
6.700000000000000000e+01,1.041831944812666819e+02
6.800000000000000000e+01,1.041853139380356907e+02
6.900000000000000000e+01,1.041874281309215746e+02
7.000000000000000000e+01,1.041895370599243478e+02
7.100000000000000000e+01,1.041916407250439960e+02
7.200000000000000000e+01,1.041937391262805193e+02
7.300000000000000000e+01,1.041958322636339318e+02
7.400000000000000000e+01,1.041979201371042194e+02
7.500000000000000000e+01,1.042000027466913963e+02
7.600000000000000000e+01,1.042020800923954482e+02
7.700000000000000000e+01,1.042041521742163894e+02
7.800000000000000000e+01,1.042062189921542057e+02
7.900000000000000000e+01,1.042082805462088970e+02
8.000000000000000000e+01,1.042103368363804776e+02
8.100000000000000000e+01,1.042123878626689475e+02
8.200000000000000000e+01,1.042144336250742782e+02
8.300000000000000000e+01,1.042164741235964982e+02
8.400000000000000000e+01,1.042185093582356075e+02
8.500000000000000000e+01,1.042205393289915918e+02
8.600000000000000000e+01,1.042225640358644654e+02
8.700000000000000000e+01,1.042245834788541998e+02
8.800000000000000000e+01,1.042265976579608378e+02
8.900000000000000000e+01,1.042286065731843365e+02
9.000000000000000000e+01,1.042306102245247388e+02
9.100000000000000000e+01,1.042326086119820019e+02
9.200000000000000000e+01,1.042346017355561543e+02
9.300000000000000000e+01,1.042365895952471959e+02
9.400000000000000000e+01,1.042385721910551126e+02
9.500000000000000000e+01,1.042405495229799044e+02
9.600000000000000000e+01,1.042425215910215854e+02
9.700000000000000000e+01,1.042444883951801415e+02
9.800000000000000000e+01,1.042464499354555727e+02
9.900000000000000000e+01,1.042484062118478931e+02
1.000000000000000000e+02,1.042503572243571028e+02
1.010000000000000000e+02,1.042523029729831876e+02
1.020000000000000000e+02,1.042542434577261474e+02
1.030000000000000000e+02,1.042561786785859965e+02
1.040000000000000000e+02,1.042581086355627207e+02
1.050000000000000000e+02,1.042600333286563199e+02
1.060000000000000000e+02,1.042619527578668084e+02
1.070000000000000000e+02,1.042638669231941861e+02
1.080000000000000000e+02,1.042657758246384390e+02
1.090000000000000000e+02,1.042676794621995668e+02
1.100000000000000000e+02,1.042695778358775840e+02
1.110000000000000000e+02,1.042714709456724762e+02
1.120000000000000000e+02,1.042733587915842577e+02
1.130000000000000000e+02,1.042752413736129142e+02
1.140000000000000000e+02,1.042771186917584458e+02
1.150000000000000000e+02,1.042789907460208667e+02
1.160000000000000000e+02,1.042808575364001626e+02
1.170000000000000000e+02,1.042827190628963479e+02
1.180000000000000000e+02,1.042845753255094081e+02
1.190000000000000000e+02,1.042864263242393577e+02
1.200000000000000000e+02,1.042882720590861823e+02
1.210000000000000000e+02,1.042901125300498819e+02
1.220000000000000000e+02,1.042919477371304708e+02
1.230000000000000000e+02,1.042937776803279348e+02
1.240000000000000000e+02,1.042956023596422881e+02
1.250000000000000000e+02,1.042974217750735164e+02
1.260000000000000000e+02,1.042992359266216340e+02
1.270000000000000000e+02,1.043010448142866267e+02
1.280000000000000000e+02,1.043028484380684944e+02
1.290000000000000000e+02,1.043046467979672514e+02
1.300000000000000000e+02,1.043064398939828834e+02
1.310000000000000000e+02,1.043082277261154047e+02
1.320000000000000000e+02,1.043100102943648011e+02
1.330000000000000000e+02,1.043117875987310867e+02
1.340000000000000000e+02,1.043135596392142475e+02
1.350000000000000000e+02,1.043153264158142832e+02
1.360000000000000000e+02,1.043170879285312083e+02
1.370000000000000000e+02,1.043188441773650084e+02
1.380000000000000000e+02,1.043205951623156977e+02
1.390000000000000000e+02,1.043223408833832622e+02
1.400000000000000000e+02,1.043240813405677017e+02
1.410000000000000000e+02,1.043258165338690304e+02
1.420000000000000000e+02,1.043275464632872485e+02
1.430000000000000000e+02,1.043292711288223416e+02
1.440000000000000000e+02,1.043309905304743097e+02
1.450000000000000000e+02,1.043327046682431671e+02
1.460000000000000000e+02,1.043344135421288996e+02
1.470000000000000000e+02,1.043361171521315072e+02
1.480000000000000000e+02,1.043378154982510040e+02
1.490000000000000000e+02,1.043395085804873901e+02
1.500000000000000000e+02,1.043411963988406512e+02
